Job Title,Job Description
Data Analyst,"sql, excel, power bi, tableau, python"
Business Analyst,"sql, excel, power bi, communication, analytics"
Data Scientist,"python, sql, machine learning, pandas, statistics"
Machine Learning Engineer,"python, machine learning, pandas, numpy, deep learning"
AI Engineer,"python, machine learning, deep learning, tensorflow, pytorch"
Data Engineer,"python, sql, spark, hadoop, etl"
Python Developer,"python, django, flask, sql, api"
Backend Developer,"java, spring boot, sql, rest api"
Java Developer,"java, sql, spring boot, oops, collections"
Full Stack Developer,"html, css, javascript, react, nodejs"
Frontend Developer,"html, css, javascript, react, bootstrap"
React Developer,"javascript, react, redux, html, css"
Node.js Developer,"nodejs, javascript, express, mongodb, api"
Software Engineer,"java, python, sql, oops, dsa"
SDE Intern,"dsa, java, python, sql, oops"
Android Developer,"java, kotlin, android studio, firebase, api"
Cloud Engineer,"aws, docker, kubernetes, linux, networking"
DevOps Engineer,"aws, docker, kubernetes, ci cd, linux"
Site Reliability Engineer,"linux, kubernetes, docker, monitoring, cloud"
Cybersecurity Analyst,"networking, linux, cybersecurity, wireshark, security"
Security Engineer,"linux, networking, cybersecurity, penetration testing, security"
Ethical Hacker,"networking, linux, kali linux, penetration testing, cybersecurity"
Network Engineer,"networking, cisco, routing, switching, linux"
Database Administrator,"sql, mysql, oracle, database, tuning"
SQL Developer,"sql, mysql, database, stored procedures, queries"
BI Developer,"sql, power bi, tableau, data modeling, excel"
Power BI Developer,"power bi, sql, dax, data modeling, excel"
QA Engineer,"testing, selenium, java, automation, api testing"
Automation Tester,"selenium, java, testng, automation, api testing"
Product Analyst,"sql, excel, analytics, power bi, statistics"
AI Research Intern,"python, machine learning, deep learning, pytorch, research"
NLP Engineer,"python, nlp, machine learning, transformers, deep learning"
Computer Vision Engineer,"python, opencv, deep learning, tensorflow, pytorch"
MLOps Engineer,"python, aws, docker, kubernetes, machine learning"
Cloud Architect,"aws, azure, cloud, networking, security"
System Administrator,"linux, networking, shell scripting, security, servers"
Linux Administrator,"linux, shell scripting, networking, troubleshooting, security"
Big Data Engineer,"spark, hadoop, python, sql, data engineering"
Prompt Engineer,"llm, prompt engineering, python, ai, machine learning"
Generative AI Engineer,"llm, python, prompt engineering, machine learning, deep learning"
Angular Developer,"angular, typescript, html, css, javascript"
Vue Developer,"vue, javascript, html, css, frontend"
MERN Stack Developer,"mongodb, express, react, nodejs, javascript"
PHP Developer,"php, mysql, laravel, api, backend"
Laravel Developer,"php, laravel, mysql, api, backend"
WordPress Developer,"wordpress, php, mysql, css, html"
Flutter Developer,"flutter, dart, firebase, api, mobile"
React Native Developer,"react native, javascript, mobile, api, redux"
iOS Developer,"swift, ios, xcode, api, mobile"
Mobile App Developer,"android, ios, flutter, firebase, api"
AWS Engineer,"aws, ec2, s3, lambda, cloud"
Azure Engineer,"azure, cloud, networking, security, devops"
GCP Engineer,"gcp, kubernetes, cloud, docker, networking"
Cloud Security Engineer,"cloud, aws, security, networking, iam"
Platform Engineer,"linux, kubernetes, docker, automation, cloud"
SOC Analyst,"siem, cybersecurity, networking, linux, monitoring"
Threat Hunter,"cybersecurity, siem, threat hunting, linux, security"
Incident Response Analyst,"incident response, linux, networking, cybersecurity, forensics"
Security Consultant,"cybersecurity, risk assessment, networking, security, compliance"
Application Security Engineer,"owasp, security testing, python, web security, cybersecurity"
Penetration Tester,"penetration testing, kali linux, networking, cybersecurity, linux"
Data Visualization Engineer,"power bi, tableau, sql, analytics, dashboards"
Analytics Engineer,"sql, dbt, analytics, data modeling, python"
Data Quality Engineer,"sql, python, testing, data quality, etl"
Reporting Analyst,"excel, sql, reporting, power bi, analytics"
C++ Developer,"c++, stl, oops, dsa, algorithms"
Go Developer,"golang, microservices, api, docker, backend"
Rust Developer,"rust, systems programming, linux, memory management, backend"
API Developer,"rest api, backend, sql, python, testing"
Microservices Engineer,"java, spring boot, microservices, docker, kubernetes"
LLM Engineer,"llm, transformers, python, rag, prompt engineering"
RAG Engineer,"rag, llm, vector database, python, embeddings"
AI Product Engineer,"python, llm, api, machine learning, deployment"
Deep Learning Engineer,"tensorflow, pytorch, python, deep learning, neural networks"
Research Scientist AI,"python, research, machine learning, deep learning, transformers"
Kotlin Developer,"kotlin, android, firebase, api, mobile"
Django Developer,"python, django, sql, api, backend"
Flask Developer,"python, flask, sql, rest api, backend"
Spring Boot Developer,"java, spring boot, sql, microservices, api"
Blockchain Developer,"solidity, blockchain, ethereum, smart contracts, web3"
Game Developer,"unity, c#, game development, physics, oop"
Embedded Engineer,"c, c++, embedded systems, microcontrollers, debugging"
IoT Engineer,"iot, embedded systems, networking, sensors, python"
Data Architect,"sql, data modeling, cloud, architecture, etl"
Solutions Architect,"cloud, aws, architecture, networking, security"
Technical Support Engineer,"linux, networking, troubleshooting, customer support, security"
IT Administrator,"windows, linux, networking, security, servers"
ERP Developer,"sql, java, business applications, api, backend"
SAP Consultant,"sap, analytics, business process, sql, reporting"
CRM Developer,"salesforce, crm, apex, automation, cloud"
Salesforce Developer,"salesforce, apex, lightning, crm, cloud"
Tableau Developer,"tableau, sql, dashboards, analytics, reporting"
ETL Developer,"etl, sql, python, data warehouse, spark"
Hadoop Developer,"hadoop, spark, big data, sql, python"
Spark Developer,"spark, scala, python, big data, sql"
Research Intern AI,"python, machine learning, research, deep learning, pytorch"
Junior Data Scientist,"python, pandas, sql, machine learning, statistics"
Junior ML Engineer,"python, machine learning, numpy, pandas, deep learning"
Junior Backend Developer,"java, sql, api, spring boot, oops"
Junior Frontend Developer,"html, css, javascript, react, bootstrap"
